caso,rotulo,eps_kgf,W0_kgf,Wf_kgf,b_w,g_min,viavel,n_objfun,tempo_s,sucesso,S_w,AR_w,sweep_w,xr_w,Cht,Lc_h,Cvt,Lb_v,x_mlg,y_mlg,z_lg
letraF,letra F (teto relaxado),98924.0086066152,276355.4669308081,98924.00860661527,64.79024589322708,-6.772360450213455e-15,True,96,1.0706324577331543,True,388.127650310947,10.815451977053929,0.6077197907760407,18.703378954308295,0.7,4.891266161769517,0.06505950893579754,0.5039297995623354,32.23632548857731,6.95,-5.671397641115916
letraF,letra F (teto relaxado),98935.16606593544,276340.84084386536,98935.1660659355,64.72621897052694,-6.661338147750939e-16,True,96,1.0534553527832031,True,387.9577021084162,10.798814920936499,0.6086685499613322,18.689098796221547,0.7,4.8891305064574855,0.06508097928332658,0.5045116941735962,32.235355777535474,6.95,-5.671568627336085
letraF,letra F (teto relaxado),98946.32352525569,276328.5717213964,98946.32352525569,64.66679384570162,-4.218847493575595e-15,True,85,0.8990521430969238,True,387.8014346744265,10.783338720222227,0.6095520725162085,18.675762511999555,0.7,4.887130141332313,0.06510044949947345,0.5050532841084584,32.23445329904613,6.95,-5.671727758643262
letraF,letra F (teto relaxado),98957.48098457594,276318.22801958927,98957.48098876806,64.61112876241323,-3.842726137293084e-11,True,84,0.9280996322631836,True,387.65634403078445,10.768811149964389,0.6103822806771985,18.663197499495933,0.7,4.885240354266143,0.06511828510496277,0.5055619384093608,32.23360575077434,6.95,-5.67187720427102
letraF,letra F (teto relaxado),98968.6384438962,276309.495594176,98968.63844558869,64.55861094891833,-1.560573892334105e-11,True,84,0.8997209072113037,True,387.52060743353496,10.755077711237936,0.6111678540598031,18.651278106901042,0.7,4.883443154024272,0.06513475221805423,0.5060430217284967,32.23280417714566,6.95,-5.672018543328788
letraF,letra F (teto relaxado),98979.79590321644,276302.1373121449,98979.79590391151,64.50877776863805,-6.483924508415839e-12,True,84,0.8783600330352783,True,387.39284878539934,10.742021754533669,0.6119153461359575,18.63990946623618,0.7,4.881724956219823,0.06515005177836941,0.5065005844879004,32.23204181689362,6.95,-5.67215296801024
letraF,letra F (teto relaxado),98990.95336253669,276295.9689795082,98990.95336283698,64.46126985770292,-2.708944180085382e-12,True,84,0.909766435623169,True,387.2719992126626,10.729552666124524,0.6126298478249104,18.62901788482988,0.7,4.880075207925071,0.06516433988844758,0.506937773080101,32.23131341812308,6.95,-5.6722814043662035
letraF,letra F (teto relaxado),99002.11082185694,276290.84413806966,99002.11082199236,64.41580145089229,-1.2539969063141143e-12,True,84,0.9277794361114502,True,387.1572087836297,10.717598387480233,0.6133154076916846,18.618544761121687,0.7,4.878485516745228,0.06517774069491132,0.5073570896104547,32.23061480459938,6.95,-5.672404588779524
letraF,letra F (teto relaxado),99013.2682811772,276286.6440577572,99013.26828123884,64.37214086601522,-5.706546346573305e-13,True,84,0.8915657997131348,True,387.04778844967416,10.70610049542474,0.6139753083097478,18.608442583210426,0.7,4.876949078003972,0.06519035486025741,0.5077605627269626,32.229942590524686,6.95,-5.672523118257704
letraF,letra F (teto relaxado),99024.42574049743,276283.2709026032,99024.42574052434,64.33009717662692,-2.788880237858393e-13,True,84,0.8890714645385742,True,386.94317039692606,10.695010842313446,0.6146122549941252,18.59867219622002,0.7,4.87546028355976,0.06520226534872611,0.5081498642822698,32.22929398574182,6.95,-5.672637484780741
letraF,letra F (teto relaxado),99035.58319981769,276280.6429207071,99035.58319983122,64.28951083125449,-1.2512213487525514e-13,True,84,0.8979859352111816,True,386.84288013941097,10.68428919108575,0.6152285086509747,18.589200878854985,0.7,4.874014446445439,0.06521354149894315,0.5085263914502561,32.22866665863672,6.95,-5.6727480994751
letraF,letra F (teto relaxado),99046.74065913794,276278.69097047986,99046.74065914495,64.2502468784576,-6.616929226765933e-14,True,84,0.9383988380432129,True,386.7465163645829,10.673901507237442,0.6158259817264352,18.580000954232837,0.7,4.872607601994015,0.06522424196542934,0.5088913260336554,32.22805863711866,6.949999999999998,-5.672855310073587
letraF,letra F (teto relaxado),99057.8981184582,276277.3559556981,99057.89811846135,64.21218996411056,-1.41886502547095e-13,True,84,0.88688063621521,True,386.6537360512022,10.663818697567198,0.6164063090586209,18.571048764098126,0.7,4.871236360979187,0.06523441689075786,0.5092456782580184,32.227468235503856,6.949999999999998,-5.67295941380773
letraF,letra F (teto relaxado),99069.05557777843,276276.58689463424,99069.05557778006,64.17524056529332,-2.7533531010703882e-14,True,84,0.8879759311676025,True,386.56424326609437,10.65401566067324,0.6169709012175693,18.5623238965882,0.7,4.869897799055374,0.06524410954086267,0.5095903197411823,32.22689399947322,6.95,-5.673060667113226
letraF,letra F (teto relaxado),99080.21303709869,276276.33944161556,99080.21303709962,64.1393121065255,-2.708944180085382e-14,True,84,0.9080088138580322,True,386.4777805858072,10.644470559892682,0.6175209853497251,18.5538085949162,0.7,4.868589372095909,0.06525335755727685,0.5099260087388154,32.22633466392651,6.9499999999999975,-5.6731592930613814
