geracao,n_eval,n_frente,f1_min,f2_min,W0_min_kgf,Wf_min_kgf,n_viaveis
140,14000,1,0.9713335252854494,0.9276594392651426,278348.54442879726,101403.29649753025,1
141,14100,3,0.971167555488983,0.9276576705286913,278300.98357553425,101403.10315534106,3
142,14200,2,0.971167555488983,0.9270683869453553,278300.98357553425,101338.68803122021,2
143,14300,1,0.9709903203601957,0.9267847395543285,278250.19449141907,101307.68227708718,1
144,14400,2,0.9709185831148934,0.9267847395543285,278229.63722937525,101307.68227708718,2
145,14500,3,0.9708929993042267,0.9267835459692002,278222.3058480581,101307.5518052119,3
146,14600,5,0.9708178459405863,0.9267003836407117,278200.769651856,101298.46125549484,5
147,14700,1,0.9702792693063028,0.9249921399542618,278046.4333520025,101111.73158542934,1
148,14800,1,0.9702792693063028,0.9249921399542618,278046.4333520025,101111.73158542934,1
149,14900,2,0.9702792693063028,0.924331244802055,278046.4333520025,101039.48853562423,2
150,15000,2,0.9702792693063028,0.924317787956201,278046.4333520025,101038.01755557241,2
151,15100,3,0.9702184974868793,0.9242846748264816,278029.0183786298,101034.39792926477,3
152,15200,4,0.9702184974868793,0.9242846748264816,278029.0183786298,101034.39792926477,4
153,15300,3,0.9700713767768363,0.9242846748264816,277986.85898185236,101034.39792926477,3
154,15400,4,0.9700713767768363,0.9242846748264816,277986.85898185236,101034.39792926477,4
155,15500,4,0.9699915643226156,0.9242846748264816,277963.98766125925,101034.39792926477,4
156,15600,3,0.9699915643226156,0.9240669690301139,277963.98766125925,101010.6003107812,3
157,15700,6,0.9699915299504441,0.9239681520409124,277963.97781145625,100999.79853587237,6
158,15800,1,0.9695493519602982,0.9229492196210716,277837.26582558156,100888.41810690599,1
159,15900,1,0.9695493519602982,0.9229492196210716,277837.26582558156,100888.41810690599,1
160,16000,1,0.9694048191115273,0.9226731805511283,277795.84801488084,100858.24402526616,1
161,16100,1,0.9694048191115273,0.9226731805511283,277795.84801488084,100858.24402526616,1
162,16200,1,0.9693347202369805,0.9225084341856428,277775.76024977415,100840.23545030953,1
163,16300,1,0.9693347202369805,0.9225084341856428,277775.76024977415,100840.23545030953,1
164,16400,2,0.9693347202369805,0.9224795843659019,277775.76024977415,100837.08185029076,2
165,16500,1,0.9692057422528468,0.9217859568617952,277738.7998924794,100761.26079734757,1
166,16600,2,0.9691757997148566,0.9217859568617952,277730.2194598585,100761.26079734757,2
167,16700,2,0.9691757997148566,0.9217711989159337,277730.2194598585,100759.64759287129,2
168,16800,1,0.9689542445107014,0.9214656475977191,277666.72986850614,100726.24750054789,1
169,16900,2,0.9689542445107014,0.9211258221800408,277666.72986850614,100689.10087525884,2
170,17000,2,0.9689542445107014,0.9211258221800408,277666.72986850614,100689.10087525884,2
171,17100,2,0.9689439344909346,0.9211258221800408,277663.775395176,100689.10087525884,2
172,17200,2,0.9689439344909346,0.9211119018302647,277663.775395176,100687.57922917197,2
173,17300,2,0.9687785430509698,0.9210298562758581,277616.380277663,100678.6107550449,2
174,17400,1,0.968679715107405,0.9208061783340338,277588.05981561367,100654.16031591312,1
175,17500,1,0.9686795934408104,0.9208060449847153,277588.0249504323,100654.14573937791,1
176,17600,1,0.9685537082144768,0.9203159504539222,277551.95086403156,100600.57306074792,1
