geracao,n_eval,n_frente,f1_min,f2_min,W0_min_kgf,Wf_min_kgf,n_viaveis
140,14000,2,0.973302888064519,0.9381066962103947,278912.8915338199,102545.29565019824,2
141,14100,3,0.973302888064519,0.9381066962103947,278912.8915338199,102545.29565019824,3
142,14200,1,0.9731250629509699,0.9377127274126176,278861.933381722,102502.23056281725,1
143,14300,1,0.9731250629509699,0.9377127274126176,278861.933381722,102502.23056281725,1
144,14400,1,0.9731250629509699,0.9377127274126176,278861.933381722,102502.23056281725,1
145,14500,1,0.973118358981605,0.9376824576624988,278860.01227010996,102498.92174891822,1
146,14600,1,0.973118358981605,0.9376824576624988,278860.01227010996,102498.92174891822,1
147,14700,2,0.9731002398922366,0.9376780513907138,278854.82000399247,102498.44009534434,2
148,14800,2,0.9731002398922366,0.937677300697468,278854.82000399247,102498.35803638332,2
149,14900,2,0.9731002398922366,0.937677300697468,278854.82000399247,102498.35803638332,2
150,15000,6,0.9731002398922366,0.93767496197934,278854.82000399247,102498.10238897896,6
151,15100,1,0.9730732799256021,0.9376200370777825,278847.0942668742,102492.098498066,1
152,15200,1,0.973063073044715,0.9376029251319843,278844.1693493622,102490.22797571697,1
153,15300,1,0.9730397149094175,0.9375634826939921,278837.4757649328,102485.91648696906,1
154,15400,2,0.9730291383608626,0.9375605644183304,278834.4449142325,102485.59748760391,2
155,15500,1,0.9729221329007268,0.937382154252394,278803.78107601486,102466.09531020037,1
156,15600,1,0.9729221329007268,0.937382154252394,278803.78107601486,102466.09531020037,1
157,15700,1,0.9729221329007268,0.937382154252394,278803.78107601486,102466.09531020037,1
158,15800,1,0.9729221329007268,0.937382154252394,278803.78107601486,102466.09531020037,1
159,15900,1,0.9729221329007268,0.937382154252394,278803.78107601486,102466.09531020037,1
160,16000,2,0.9729221329007268,0.9373790255174855,278803.78107601486,102465.75330534368,2
161,16100,2,0.9729221329007268,0.9373790255174855,278803.78107601486,102465.75330534368,2
162,16200,2,0.9729221329007268,0.9373790255174855,278803.78107601486,102465.75330534368,2
163,16300,3,0.9729221329007268,0.9373731148835727,278803.78107601486,102465.10720857822,3
164,16400,4,0.9729195882373873,0.9373731148835727,278803.05186888034,102465.10720857822,4
165,16500,3,0.9729195882373873,0.9373731148835727,278803.05186888034,102465.10720857822,3
166,16600,1,0.9729106719031283,0.9373624065943227,278800.4967746742,102463.93667574706,1
167,16700,3,0.9728552102287289,0.9372586537173523,278784.60349400516,102452.59535445976,3
168,16800,5,0.9728552102287289,0.9372586537173523,278784.60349400516,102452.59535445976,5
169,16900,1,0.9728229055360492,0.9371769707105686,278775.3461545316,102443.66651074287,1
170,17000,2,0.9728225860739129,0.9371627558395191,278775.2546084063,102442.11267026792,2
171,17100,2,0.9728225860739129,0.9371624701058021,278775.2546084063,102442.0814364556,2
172,17200,2,0.9728225860739129,0.9371611812276567,278775.2546084063,102441.940548014,2
173,17300,2,0.9728225860739129,0.9371610158137066,278775.2546084063,102441.92246646476,2
174,17400,1,0.9723717987620554,0.9356240091224989,278646.0755068555,102273.91086799423,1
175,17500,1,0.9723717987620554,0.9356240091224989,278646.0755068555,102273.91086799423,1
176,17600,1,0.9723627751753071,0.9355882541616541,278643.4896780217,102270.00246072498,1
177,17700,2,0.9723627751753071,0.9355882541616541,278643.4896780217,102270.00246072498,2
178,17800,3,0.9723624232952093,0.9355882541616541,278643.38884209824,102270.00246072498,3
179,17900,1,0.972336439480744,0.935532283209499,278635.9428343708,102263.88422507039,1
180,18000,1,0.9722448421108341,0.9347267288667028,278609.69438939885,102175.82834765471,1
181,18100,1,0.9722448421108341,0.9347267288667028,278609.69438939885,102175.82834765471,1
182,18200,1,0.9722448421108341,0.9347267288667028,278609.69438939885,102175.82834765471,1
