AR_w,S_w,W0_kgf,b_w
7.333333333333333,114.0,44280.41463368759,28.91366458960192
7.333333333333333,114.66666666666666,44323.98129893626,28.998084227908727
7.333333333333333,115.33333333333333,44367.80550126955,29.082258814916315
7.333333333333333,116.0,44411.882108854465,29.166190472303146
7.333333333333333,116.66666666666666,44456.20613310219,29.249881291307073
7.333333333333333,117.33333333333333,44500.772723710266,29.333333333333332
7.333333333333333,118.0,44545.57716390973,29.416548630546945
7.333333333333333,118.66666666666666,44590.614865907635,29.499529186450115
7.333333333333333,119.33333333333333,44635.88136651534,29.582276976445055
7.333333333333333,120.0,44681.37232295396,29.664793948382652
7.416666666666667,80.0,42501.42955291293,24.358434541926815
7.416666666666667,80.66666666666667,42519.89152384295,24.459717450898278
7.416666666666667,81.33333333333333,42539.289930446736,24.560582693051526
7.416666666666667,82.0,42559.58283347352,24.661035393240624
7.416666666666667,82.66666666666667,42580.764429017036,24.761080572364186
7.416666666666667,83.33333333333333,42602.79536649694,24.86072315029383
7.416666666666667,84.0,42625.64907455156,24.95996794869737
7.416666666666667,84.66666666666667,42649.30010364734,25.058819693761407
7.416666666666667,85.33333333333333,42673.72406696487,25.157283018817612
7.416666666666667,86.0,42698.89758502237,25.25536246687688
7.416666666666667,86.66666666666667,42724.79823376133,25.353062493075228
7.416666666666667,87.33333333333333,42751.40449584163,25.450387467035195
7.416666666666667,88.0,42778.69571491484,25.547341675146296
7.416666666666667,88.66666666666667,42806.65205266338,25.643929322767818
7.416666666666667,89.33333333333333,42835.254448410364,25.740154536357306
7.416666666666667,90.0,42864.48458112097,25.836021365527625
7.416666666666667,90.66666666666667,42894.32483362992,25.931533785035633
7.416666666666667,91.33333333333333,42924.75825894348,26.026695696705122
7.416666666666667,92.0,42955.76854847518,26.121510931286753
7.416666666666667,92.66666666666667,42987.340002086465,26.215983250257423
7.416666666666667,93.33333333333333,43019.45749981231,26.310116347561486
7.416666666666667,94.0,43052.10647516148,26.403913851296114
7.416666666666667,94.66666666666667,43085.27288988935,26.497379325342933
7.416666666666667,95.33333333333333,43118.94321014835,26.590516270948097
7.416666666666667,96.0,43153.10438392872,26.68332812825267
7.416666666666667,96.66666666666666,43187.74381970786,26.775818277775276
7.416666666666667,97.33333333333333,43222.84936623306,26.86799004184885
7.416666666666667,98.0,43258.40929336748,26.959846686013133
7.416666666666667,98.66666666666666,43294.41227393406,27.051391420364638
7.416666666666667,99.33333333333333,43330.84736649707,27.14262740086564
7.416666666666667,100.0,43367.70399902457,27.233557730613654
7.416666666666667,100.66666666666666,43404.97195337946,27.324185461072965
7.416666666666667,101.33333333333333,43442.641350590224,27.41451359326945
7.416666666666667,102.0,43480.702636855414,27.504545078950134
7.416666666666667,102.66666666666666,43519.14657023972,27.59428282170864
7.416666666666667,103.33333333333333,43557.96420802142,27.68372967807786
7.416666666666667,104.0,43597.14689465428,27.77288845859093
7.416666666666667,104.66666666666666,43636.68625030914,27.86176192881164
7.416666666666667,105.33333333333333,43676.574159962605,27.950352810335367
7.416666666666667,106.0,43716.80276300248,28.038663781761546
7.416666666666667,106.66666666666666,43757.364443321334,28.126697479638647
7.416666666666667,107.33333333333333,43798.25181987173,28.214456499382646
7.416666666666667,108.0,43839.45773765786,28.30194339616981
7.416666666666667,108.66666666666666,43880.97525914009,28.389160685804793
7.416666666666667,109.33333333333333,43922.79765603062,28.476110845564722
7.416666666666667,110.0,43964.91840145925,28.562796315020236
7.416666666666667,110.66666666666666,44007.33116249,28.64921949683408
7.416666666666667,111.33333333333333,44050.02979297021,28.735382757538172
7.416666666666667,112.0,44093.00832669502,28.821288428289716
7.416666666666667,112.66666666666666,44136.26097087083,28.906938805607055
7.416666666666667,113.33333333333333,44179.78209986279,28.992336152086047
7.416666666666667,114.0,44223.566249211675,29.077482697097423
7.416666666666667,114.66666666666666,44267.60810990703,29.162380637465873
7.416666666666667,115.33333333333333,44311.90252290317,29.247032138131363
7.416666666666667,116.0,44356.44447386679,29.331439332793295
7.416666666666667,116.66666666666666,44401.2290881443,29.415604324537984
7.416666666666667,117.33333333333333,44446.25162593828,29.499529186450115
7.416666666666667,118.0,44491.50747768315,29.58321596220848
7.416666666666667,118.66666666666666,44536.99215961018,29.666666666666668
7.416666666666667,119.33333333333333,44582.70130949301,29.749883286419053
7.416666666666667,120.0,44628.630682565126,29.832867780352597
7.5,80.0,42412.64089471011,24.49489742783178
7.5,80.66666666666667,42432.116870150574,24.596747752497688
7.5,81.33333333333333,42452.508301343114,24.698178070456937
7.5,82.0,42473.78460777626,24.79919353527449
7.5,82.66666666666667,42495.91757280384,24.899799195977465
7.5,83.33333333333333,42518.88019345954,25.0
7.5,84.0,42542.64661529385,25.099800796022265
7.5,84.66666666666667,42567.19207140923,25.199206336708304
7.5,85.33333333333333,42592.49282537791,25.298221281347036
7.5,86.0,42618.52611775384,25.39685019840059
7.5,86.66666666666667,42645.270115915235,25.495097567963924
7.5,87.33333333333333,42672.703866995405,25.592967784139454
7.5,88.0,42700.80725368067,25.69046515733026
7.5,88.66666666666667,42729.5609526713,25.787593916455254
7.5,89.33333333333333,42758.94639561874,25.88435821108957
7.5,90.0,42788.945732366774,25.98076211353316
7.5,90.66666666666667,42819.54179633852,26.076809620810597
7.5,91.33333333333333,42850.718071922856,26.1725046566048
7.5,92.0,42882.458663726014,26.267851073127396
7.5,92.66666666666667,42914.74826756376,26.362852652928137
7.5,93.33333333333333,42947.57214307943,26.457513110645905
7.5,94.0,42980.91608788163,26.551836094703507
7.5,94.66666666666667,43014.76641310328,26.645825188948454
7.5,95.33333333333333,43049.10992029087,26.739483914241873
7.5,96.0,43083.93387953979,26.832815729997478
7.5,96.66666666666666,43119.22600879733,26.92582403567252
7.5,97.33333333333333,43154.97445426057,27.018512172212592
7.5,98.0,43191.16777180196,27.110883423451916
7.5,98.66666666666666,43227.794909359436,27.20294101747088
7.5,99.33333333333333,43264.84519023313,27.294688127912362
7.5,100.0,43302.30829723414,27.386127875258307
7.5,100.66666666666666,43340.174257634404,27.47726332806817
7.5,101.33333333333333,43378.43342887116,27.568097504180443
7.5,102.0,43417.07648496139,27.65863337187866
7.5,102.66666666666666,43456.094403585346,27.748873851023212
