geracao,n_eval,n_frente,f1_min,f2_min,W0_min_kgf,Wf_min_kgf,n_viaveis
180,18000,7,0.9707869975663092,0.9133278713268476,278191.92963979574,99836.69977958743,7
181,18100,9,0.9707869442636773,0.9133276930356204,278191.91436521744,99836.68029041134,9
182,18200,10,0.9707869442636773,0.9133276930356204,278191.91436521744,99836.68029041134,10
183,18300,14,0.9707869442636773,0.9133276930356204,278191.91436521744,99836.68029041134,14
184,18400,12,0.9707868888827588,0.9133276930356204,278191.89849507844,99836.68029041134,12
185,18500,17,0.9707862195092118,0.9133276930356204,278191.7066771831,99836.68029041134,17
186,18600,22,0.9707862195092118,0.9133276873100232,278191.7066771831,99836.67966454111,22
187,18700,3,0.9707862195092118,0.9133123862970352,278191.7066771831,99835.0070969036,3
188,18800,3,0.9707862195092118,0.9133123862970352,278191.7066771831,99835.0070969036,3
189,18900,4,0.9707862195092118,0.9133123862970352,278191.7066771831,99835.0070969036,4
190,19000,2,0.9707851490535656,0.9133122730557949,278191.3999238762,99834.9947184007,2
191,19100,4,0.9707850236441132,0.9132600449099199,278191.3639861292,99829.28561230258,4
192,19200,6,0.9707850236441132,0.9132600449099199,278191.3639861292,99829.28561230258,6
193,19300,4,0.9707846274921048,0.9132597569488026,278191.2504635007,99829.25413501111,4
194,19400,4,0.9707846166509674,0.9132597569488026,278191.24735682853,99829.25413501111,4
195,19500,7,0.9707845901392909,0.9132436056684433,278191.2397595549,99827.48862387442,7
196,19600,11,0.9707845375179248,0.9132436056684433,278191.2246802024,99827.48862387442,11
197,19700,14,0.9707845169642313,0.9132436056684433,278191.21879026806,99827.48862387442,14
198,19800,15,0.9707845169642313,0.9132434453725206,278191.21879026806,99827.4711017814,15
199,19900,12,0.970784478843684,0.913240307317239,278191.20786631806,99827.12807810625,12
200,20000,19,0.970784478843684,0.913232585409121,278191.20786631806,99826.28398931108,19
201,20100,12,0.9707844025180727,0.9129681980439365,278191.1859941987,99797.38356610917,12
202,20200,13,0.9707843901904627,0.9129681980439365,278191.182461558,99797.38356610917,13
203,20300,16,0.9707843901904627,0.9129681980439365,278191.182461558,99797.38356610917,16
204,20400,16,0.9707843167860214,0.912968178607687,278191.16142653883,99797.38144151507,16
205,20500,18,0.9707843167860214,0.9128137879820433,278191.16142653883,99780.50486189337,18
206,20600,15,0.9707843167860214,0.9127058084628895,278191.16142653883,99768.70152250721,15
207,20700,16,0.9707843167860214,0.9127058084628895,278191.16142653883,99768.70152250721,16
208,20800,4,0.9707749208718023,0.9127058084628895,278188.4689023148,99768.70152250721,4
209,20900,4,0.9707749208718023,0.9127057908688875,278188.4689023148,99768.69959929086,4
210,21000,3,0.9707749208718023,0.9127057908688875,278188.4689023148,99768.69959929086,3
211,21100,3,0.9707749208718023,0.9127057908688875,278188.4689023148,99768.69959929086,3
212,21200,3,0.9707749208718023,0.9127057787828787,278188.4689023148,99768.69827815826,3
213,21300,2,0.9707749208718023,0.912597798315175,278188.4689023148,99756.89483508526,2
214,21400,3,0.9707747189259235,0.912597798315175,278188.41103203647,99756.89483508526,3
215,21500,3,0.9707747189259235,0.912597798315175,278188.41103203647,99756.89483508526,3
216,21600,4,0.9707726481949936,0.912597798315175,278187.8176365392,99756.89483508526,4
217,21700,4,0.9707726481949936,0.912597798315175,278187.8176365392,99756.89483508526,4
218,21800,3,0.9706829072144871,0.912597798315175,278162.1011646484,99756.89483508526,3
219,21900,3,0.9706785341715959,0.912597798315175,278160.84801102837,99756.89483508526,3
220,22000,4,0.9706785341715959,0.912597798315175,278160.84801102837,99756.89483508526,4
221,22100,2,0.970676465631931,0.9123563667522108,278160.2552434672,99730.50373148962,2
222,22200,3,0.9706755376192399,0.9123563667522108,278159.9893090842,99730.50373148962,3
223,22300,3,0.9706755376192399,0.9123244190071207,278159.9893090842,99727.01149443506,3
224,22400,4,0.9706755321245967,0.9123102270932927,278159.9877345211,99725.46016343487,4
225,22500,3,0.9705500155795349,0.9123102270932927,278124.0192986438,99725.46016343487,3
226,22600,5,0.9705500155795349,0.9123102270932927,278124.0192986438,99725.46016343487,5
227,22700,5,0.9705500155795349,0.9123102270932927,278124.0192986438,99725.46016343487,5
228,22800,6,0.9705451438638152,0.9123102270932927,278122.6232436903,99725.46016343487,6
229,22900,4,0.9705451418579238,0.9122988908975646,278122.62266887544,99724.22099357584,4
230,23000,1,0.9704935494128617,0.912144265619495,278107.83816734975,99707.31876388418,1
231,23100,2,0.9704935494128617,0.9121377805522642,278107.83816734975,99706.60987529063,2
232,23200,2,0.9704794040401177,0.9121000812892075,278103.7846225979,99702.48893457932,2
233,23300,1,0.9704691780678338,0.9120976956518377,278100.8542341922,99702.22815839003,1
234,23400,2,0.9704691780678338,0.9114726714867224,278100.8542341922,99633.90619878864,2
235,23500,2,0.9704690617141548,0.9114726714867224,278100.8208914975,99633.90619878864,2
236,23600,2,0.9704690617141548,0.9114726714867224,278100.8208914975,99633.90619878864,2
237,23700,2,0.9704417761408327,0.9114726714867224,278093.0018474509,99633.90619878864,2
238,23800,2,0.9704417761408327,0.9114719380704664,278093.0018474509,99633.82602839106,2
239,23900,2,0.9704417761408327,0.9114719380704664,278093.0018474509,99633.82602839106,2
240,24000,2,0.9704223897315737,0.9114719380704664,278087.4464139582,99633.82602839106,2
241,24100,2,0.9704084310337955,0.9114719380704664,278083.4463634014,99633.82602839106,2
242,24200,4,0.9704084310337955,0.9114719380704664,278083.4463634014,99633.82602839106,4
243,24300,3,0.9704083993313715,0.9114150831362634,278083.43727865,99627.61116385533,3
244,24400,4,0.9704083993313715,0.9114150831362634,278083.43727865,99627.61116385533,4
245,24500,4,0.9704083993313715,0.9113945068356939,278083.43727865,99625.36194973734,4
246,24600,5,0.9704071382017586,0.9113944127549265,278083.0758851812,99625.35166568315,5
247,24700,2,0.9703507935286438,0.9113944127549265,278066.9295694827,99625.35166568315,2
248,24800,3,0.9703429257865409,0.9113598534093645,278064.67496330955,99621.57395220721,3
249,24900,4,0.9703429257865409,0.9113598534093645,278064.67496330955,99621.57395220721,4
250,25000,5,0.9703429257865409,0.9113598534093645,278064.67496330955,99621.57395220721,5
251,25100,5,0.9703429257865409,0.9113588669800617,278064.67496330955,99621.46612472353,5
252,25200,5,0.970337792001892,0.9113497158642254,278063.2038090178,99620.4658079336,5
253,25300,6,0.970337792001892,0.9113497158642254,278063.2038090178,99620.4658079336,6
254,25400,4,0.9703352007841205,0.9113497158642254,278062.46126109146,99620.4658079336,4
255,25500,3,0.9703352007841205,0.9113475599780588,278062.46126109146,99620.23014605715,3
256,25600,4,0.9703304471299298,0.9113472199773123,278061.0990382398,99620.19298026648,4
257,25700,5,0.9703304471299298,0.911346096435007,278061.0990382398,99620.07016483585,5
258,25800,6,0.9703304471299298,0.911346096435007,278061.0990382398,99620.07016483585,6
259,25900,8,0.9703231894995229,0.911346096435007,278059.0192676902,99620.07016483585,8
260,26000,8,0.9703231894995229,0.9112706985204463,278059.0192676902,99611.82835026267,8
261,26100,2,0.9703098022649002,0.911143578273651,278055.1829775034,99597.93272054016,2
262,26200,3,0.9703098022649002,0.911143578273651,278055.1829775034,99597.93272054016,3
263,26300,3,0.9703083396138609,0.9111435781796281,278054.76383538876,99597.93271026242,3
264,26400,1,0.9702700984361962,0.9111273130862425,278043.80531716294,99596.15475812038,1
265,26500,1,0.9702700984361962,0.9111273130862425,278043.80531716294,99596.15475812038,1
266,26600,2,0.9702700984361962,0.9110908470307003,278043.80531716294,99592.16862044341,2
267,26700,2,0.9702700984361962,0.9110908470307003,278043.80531716294,99592.16862044341,2
268,26800,2,0.9702700869941993,0.9110908470307003,278043.8020383065,99592.16862044341,2
269,26900,2,0.9702685926021143,0.9110908470307003,278043.37380037294,99592.16862044341,2
270,27000,2,0.9702685926021143,0.9110908470307003,278043.37380037294,99592.16862044341,2
271,27100,2,0.9702685926021143,0.9110908470307003,278043.37380037294,99592.16862044341,2
272,27200,3,0.9702685926021143,0.9110908470307003,278043.37380037294,99592.16862044341,3
273,27300,1,0.9702322893886369,0.911074522622769,278032.97063156794,99590.38418457446,1
274,27400,1,0.9702322893886369,0.911074522622769,278032.97063156794,99590.38418457446,1
275,27500,2,0.9702322893886369,0.9110421938761881,278032.97063156794,99586.85029990065,2
276,27600,2,0.9702124016583558,0.9110357034636652,278027.2715378667,99586.14082700833,2
277,27700,3,0.9702124016583558,0.9110357024299868,278027.2715378667,99586.140714016,3
278,27800,3,0.9702124016583558,0.9110357024299868,278027.2715378667,99586.140714016,3
279,27900,3,0.9702124016583558,0.911015902484651,278027.2715378667,99583.9763639943,3
280,28000,6,0.9702124016583558,0.9110158749263699,278027.2715378667,99583.97335157354,6
281,28100,5,0.9702103044204092,0.9110139971162369,278026.67054643115,99583.76808644106,5
282,28200,3,0.9702103044204092,0.9110135598193259,278026.67054643115,99583.72028511825,3
283,28300,2,0.9702059620192139,0.9110135598193259,278025.4261735967,99583.72028511825,2
284,28400,2,0.9702059124281726,0.9110135598193259,278025.41196262406,99583.72028511825,2
285,28500,3,0.9702053982838315,0.9110134856911,278025.26462772285,99583.7121820945,3
286,28600,3,0.9702053152432883,0.9110049140609282,278025.24083135044,99582.77520940927,3
287,28700,6,0.970201718997397,0.9110049140609282,278024.21027924534,99582.77520940927,6
288,28800,8,0.970201718997397,0.9110022649284294,278024.21027924534,99582.48563032792,8
289,28900,10,0.970201718997397,0.9110017546614624,278024.21027924534,99582.42985258196,10
290,29000,9,0.9702004354986479,0.9110017546614624,278023.8424756029,99582.42985258196,9
291,29100,8,0.9702004354986479,0.9110000886667207,278023.8424756029,99582.24774118244,8
292,29200,8,0.9701999586667149,0.9110000886667207,278023.7058330687,99582.24774118244,8
293,29300,10,0.9701999586667149,0.9109995225049501,278023.7058330687,99582.18585352467,10
294,29400,11,0.9701999586667149,0.9109995225049501,278023.7058330687,99582.18585352467,11
295,29500,14,0.9701999015253958,0.9109991979395183,278023.68945846346,99582.15037498233,14
296,29600,14,0.9701994557260967,0.9109991979395183,278023.56170874333,99582.15037498233,14
297,29700,14,0.9701989482557744,0.9109987252751559,278023.416286371,99582.09870761125,14
298,29800,19,0.9701989482557744,0.9109954515916215,278023.416286371,99581.74085828851,19
299,29900,20,0.9701983418230984,0.9109954515916215,278023.24250501965,99581.74085828851,20
300,30000,5,0.9701982344347964,0.9108519630363561,278023.211731473,99566.05599388923,5
301,30100,7,0.9701981456059147,0.9108519630363561,278023.18627637514,99566.05599388923,7
302,30200,8,0.9701981456059147,0.9108519630363561,278023.18627637514,99566.05599388923,8
303,30300,7,0.9701981456059147,0.9108507212145002,278023.18627637514,99565.9202492134,7
304,30400,9,0.9701977067159756,0.9108497389675569,278023.06050662405,99565.81287890724,9
305,30500,10,0.9701977067159756,0.9108497389675569,278023.06050662405,99565.81287890724,10
306,30600,9,0.9701976038941115,0.9108488411490776,278023.0310416509,99565.7147375532,9
307,30700,8,0.9701976038941115,0.9108462309532421,278023.0310416509,99565.42941467388,8
308,30800,4,0.9701971064434891,0.9108462309532421,278022.888490557,99565.42941467388,4
309,30900,3,0.9701966266603048,0.9108367939715818,278022.7510023024,99564.3978496309,3
310,31000,3,0.9701966266603048,0.9108367939715818,278022.7510023024,99564.3978496309,3
311,31100,4,0.9701966266603048,0.9108362742645693,278022.7510023024,99564.34103998497,4
312,31200,4,0.9701966266603048,0.9108362742645693,278022.7510023024,99564.34103998497,4
313,31300,7,0.9701962652102466,0.9108358597898079,278022.6474239794,99564.29573337207,7
314,31400,8,0.9701962652102466,0.9108358597898079,278022.6474239794,99564.29573337207,8
315,31500,8,0.9701962652102466,0.9108348767622123,278022.6474239794,99564.18827773209,8
316,31600,8,0.9701962652102466,0.9108348758034621,278022.6474239794,99564.18817293023,8
317,31700,12,0.9701962651211425,0.9108344464654214,278022.64739844546,99564.14124159876,12
318,31800,8,0.9701962651211425,0.9108344464654214,278022.64739844546,99564.14124159876,8
319,31900,9,0.9701961646302266,0.9108343965496215,278022.61860143655,99564.1357852573,9
320,32000,7,0.9701961646302266,0.9108103379147958,278022.61860143655,99561.50591401652,7
321,32100,7,0.9701961646302266,0.9108103379147958,278022.61860143655,99561.50591401652,7
322,32200,9,0.9701961027431312,0.9108103154801135,278022.600866866,99561.503461661,9
323,32300,4,0.9701956183741088,0.9108103154801135,278022.46206447855,99561.503461661,4
