caso,rotulo,eps_kgf,W0_kgf,Wf_kgf,b_w,g_min,viavel,n_objfun,tempo_s,sucesso,S_w,AR_w,sweep_w,xr_w,Cht,Cvt,x_mlg,y_mlg,z_lg
base,letra E (roteiro),99062.49093817375,276771.9137182365,99062.4909392871,64.76768538490249,-1.0193068611386025e-11,True,60,0.5949370861053467,True,388.3315947026361,10.80224511047037,0.6118670328826122,18.660958700240403,0.7,0.06479972929665431,32.243950782534625,6.95,-5.670053096055395
base,letra E (roteiro),99066.08519335222,276771.41006089165,99066.08519409128,64.75517641913338,-6.746492253739689e-12,True,60,0.5694563388824463,True,388.3011366202214,10.79891990420385,0.612052677151712,18.658086105114293,0.7,0.0648032797883237,32.243754170808074,6.949999999999998,-5.670087764007519
base,letra E (roteiro),99069.67944853069,276770.96533112874,99069.67944898257,64.74278455477496,-4.0536463075113716e-12,True,60,0.5689020156860352,True,388.2710245633411,10.795624413694048,0.612236698205872,18.65523699781756,0.7,0.06480677838181644,32.24355927621496,6.95,-5.670122129182676
base,letra E (roteiro),99073.27370370914,276770.5779868871,99073.27370399881,64.73050673592464,-2.6530999619467366e-12,True,60,0.5777249336242676,True,388.24124948633795,10.792357864686478,0.6124191382986093,18.65241076590879,0.7,0.06481022642961827,32.243366053878916,6.95,-5.670156199493796
base,letra E (roteiro),99076.86795888761,276770.2465519823,99076.86795906801,64.71834003743129,-1.6224799281872038e-12,True,60,0.5861248970031738,True,388.21180273078005,10.789119516042195,0.6126000378766757,18.649606823150002,0.7,0.06481362522637472,32.24317446084521,6.95,-5.670189982514958
base,letra E (roteiro),99080.46221406606,276769.96961219324,99080.4622141722,64.70628165672655,-9.809930645587883e-13,True,60,0.5995368957519531,True,388.1826760011062,10.7859086576746,0.6127794356924402,18.646824607866833,0.7,0.06481697601255726,32.24298445595804,6.95,-5.670223485503034
base,letra E (roteiro),99084.05646924453,276769.74581169715,99084.05646930677,64.69432890685322,-5.581091144790662e-13,True,60,0.658836841583252,True,388.1538613441257,10.782724608779533,0.6129573689005313,18.644063581554104,0.7,0.06482027997748199,32.24279599976312,6.95,-5.6702567154148795
base,letra E (roteiro),99087.65072442299,276769.5738497386,99087.65072445762,64.6824792099326,-3.355093980417223e-13,True,60,0.6290850639343262,True,388.12535112956346,10.779566716183725,0.6131338731482029,18.64132322755687,0.7,0.06482353826222755,32.242609054403175,6.95,-5.670289678925758
base,letra E (roteiro),99091.24497960146,276769.452477561,99091.24497962257,64.67073009102843,-1.9462209621678994e-13,True,60,0.6000571250915527,True,388.0971380319797,10.776434352788304,0.6133089826600526,18.638603049852236,0.7,0.06482675196233648,32.242423583537516,6.949999999999998,-5.67032238244351
base,letra E (roteiro),99094.83923477991,276769.3804955492,99094.8392347892,64.65907917258059,-1.4588330543574557e-13,True,60,0.6181380748748779,True,388.069215014213,10.77332691616088,0.6134827303145957,18.635902571930405,0.7,0.06482992213029787,32.2422395522527,6.95,-5.6703548321243185
