geracao,n_eval,n_frente,f1_min,f2_min,W0_min_kgf,Wf_min_kgf,n_viaveis
26,2600,1,0.9816961859163142,0.9522667278426014,281318.1026988705,104093.14157860546,1
27,2700,2,0.9816961859163142,0.9484173430872708,281318.1026988705,103672.36183212104,2
28,2800,1,0.9810516548485023,0.948122935636752,281133.4037464568,103640.17988610464,1
29,2900,1,0.9804440627848041,0.9465356997939481,280959.2901571135,103466.67769341759,1
30,3000,1,0.9802981720538152,0.9460818594114058,280917.4832271978,103417.0679886859,1
31,3100,1,0.979053621931134,0.9436360947022991,280560.84083187307,103149.71922526773,1
32,3200,1,0.979053621931134,0.9436360947022991,280560.84083187307,103149.71922526773,1
33,3300,3,0.9789785685445548,0.9436137574587459,280539.33328542794,103147.27752087159,3
34,3400,3,0.97896602953129,0.9435716008476077,280535.7400643561,103142.66934339004,3
35,3500,4,0.9788590978726202,0.9435716008476077,280505.0973749304,103142.66934339004,4
36,3600,1,0.9783724515200359,0.9426820591615269,280365.64238818566,103045.43273314004,1
37,3700,2,0.9783032339441432,0.9426820591615269,280345.8071709332,103045.43273314004,2
38,3800,4,0.9781190051452209,0.9426693931994756,280293.0139575961,103044.04820531554,4
39,3900,6,0.9781190051452209,0.9420578132052371,280293.0139575961,102977.19584025272,6
40,4000,4,0.9777729744484622,0.941192894915881,280193.8542577987,102882.65083588,4
41,4100,4,0.9777551094103669,0.941192894915881,280188.7347934535,102882.65083588,4
42,4200,4,0.9777192262575015,0.941192894915881,280178.4519986054,102882.65083588,4
43,4300,6,0.9775900082202449,0.941192894915881,280141.4228508945,102882.65083588,6
44,4400,5,0.9773238816678482,0.941192894915881,280065.16074672004,102882.65083588,5
45,4500,1,0.9770577767374846,0.9405741105412856,279988.9048386268,102815.01095345199,1
46,4600,1,0.9770577767374846,0.9405741105412856,279988.9048386268,102815.01095345199,1
47,4700,2,0.9770577767374846,0.9405198106764672,279988.9048386268,102809.07538587309,2
48,4800,3,0.9770400517534821,0.9404035552635968,279983.8255086452,102796.36740102245,3
49,4900,2,0.9765491166592122,0.9384688898805068,279843.1415259124,102584.88736949235,2
50,5000,2,0.9765491166592122,0.9384688898805068,279843.1415259124,102584.88736949235,2
51,5100,2,0.9765490040197048,0.9384688898805068,279843.109247563,102584.88736949235,2
52,5200,1,0.975952235686891,0.9359210393254639,279672.0973423051,102306.37950946446,1
53,5300,1,0.975952235686891,0.9359210393254639,279672.0973423051,102306.37950946446,1
54,5400,1,0.975952235686891,0.9359210393254639,279672.0973423051,102306.37950946446,1
55,5500,2,0.975952235686891,0.9359069718727716,279672.0973423051,102304.84178342413,2
56,5600,3,0.975952235686891,0.9359069718727716,279672.0973423051,102304.84178342413,3
57,5700,1,0.9758751150412783,0.9357622304944493,279649.99739528087,102289.01997179775,1
58,5800,2,0.9758589555398528,0.9357622304944493,279645.3666751591,102289.01997179775,2
59,5900,2,0.9758589555398528,0.9357622304944493,279645.3666751591,102289.01997179775,2
60,6000,2,0.9758589555398528,0.9357622304944493,279645.3666751591,102289.01997179775,2
61,6100,1,0.9756790047156706,0.9356510930267132,279593.7993723985,102276.87143418168,1
62,6200,1,0.9756073393021131,0.935448080302395,279573.26269469684,102254.67992875904,1
63,6300,2,0.9756073393021131,0.935448080302395,279573.26269469684,102254.67992875904,2
64,6400,1,0.975602630437964,0.9354352158735656,279571.91330702754,102253.27370635064,1
65,6500,1,0.975600596119018,0.9354318806065689,279571.3303458687,102252.90912528365,1
66,6600,2,0.9755997818574786,0.9354241944588256,279571.0970083916,102252.06894548754,2
67,6700,1,0.9755745895988757,0.9353968885190608,279563.8778315275,102249.08410839226,1
68,6800,1,0.9755716959681867,0.9353494281302485,279563.04862315627,102243.8961701523,1
69,6900,2,0.975567721712104,0.9353494281302485,279561.9097472017,102243.8961701523,2
70,7000,4,0.975567721712104,0.9351105644819891,279561.9097472017,102217.78576764713,4
71,7100,1,0.9754772583394546,0.9349896846608796,279535.9862642316,102204.57228452853,1
72,7200,1,0.9754772583394546,0.9349896846608796,279535.9862642316,102204.57228452853,1
73,7300,1,0.975404059432685,0.9347809650818267,279515.0101436482,102181.75695762764,1
74,7400,1,0.9752968327536866,0.9339490805648296,279484.2829122223,102090.82290493738,1
75,7500,3,0.9752968327536866,0.9339471748651738,279484.2829122223,102090.6145911758,3
76,7600,1,0.97490282077096,0.9329270182286878,279371.373536581,101979.10034197521,1
77,7700,1,0.97490282077096,0.9329270182286878,279371.373536581,101979.10034197521,1
78,7800,1,0.9740630508312024,0.9309155877330887,279130.7262879257,101759.22904622147,1
79,7900,1,0.9740630508312024,0.9309155877330887,279130.7262879257,101759.22904622147,1
80,8000,1,0.9740630508312024,0.9309155877330887,279130.7262879257,101759.22904622147,1
81,8100,1,0.9740630508312024,0.9309155877330887,279130.7262879257,101759.22904622147,1
82,8200,1,0.9740630508312024,0.9309155877330887,279130.7262879257,101759.22904622147,1
83,8300,1,0.9740630508312024,0.9309155877330887,279130.7262879257,101759.22904622147,1
